I,TA,VB,TB
1.6797,24.2,2.8609708,24.1
1.6797,24.2,2.8612416,24.1
1.6797,24.1,2.861696,24.1
1.6797,24.1,2.8621612,24.1
1.6797,24.2,2.8623484,24.1
1.6797,24.1,2.8629656,24.1
1.6803,24.1,2.8632388,24.1
1.6797,24.1,2.8638818,24.1
1.6803,24.2,2.864193,24.1
1.6803,24.2,2.8646822,24.1
1.6797,24.2,2.8648976,24.1
1.6803,24.1,2.865258,24.1
1.6797,24.2,2.8657536,24.1
1.6797,24.1,2.8661012,24.1
1.6797,24.1,2.8664062,24
1.68,24.1,2.8666436,24.1
1.68,24.1,2.8670944,24.1
1.6797,24.1,2.8675956,24.1
1.68,24.2,2.8679836,24.1
1.68,24.1,2.8682574,24.1
1.6797,24.1,2.8686132,24.1
1.6797,24.2,2.869027,24.1
1.6797,24.1,2.8692902,24.1
1.6797,24.1,2.8697812,24.1
1.6797,24.1,2.8699858,24
1.6797,24.1,2.8704246,24.1
1.68,24.1,2.870961,24
1.6797,24.1,2.871205,24
1.68,24.1,2.8716578,24
1.68,24.1,2.8718478,24.1
1.68,24.1,2.8723612,24.1
1.6803,24.1,2.8726084,24.1
1.6797,24.1,2.8730546,24.1
1.6797,24.1,2.8733014,24
1.6803,24.1,2.8739068,24.1
1.6803,24.1,2.8740266,24.1
1.6803,24.1,2.8744348,24.1
1.6803,24.1,2.8750062,24
1.68,24.1,2.8751814,24.1
1.6797,24.1,2.875538,24.1
1.6803,24.1,2.8756888,24
1.6803,24.1,2.8764274,24
1.6797,24.1,2.8765286,24
1.6797,24.1,2.8768174,24.1
1.6797,24.1,2.8772526,24.1
1.68,24.1,2.8776242,24
1.68,24.1,2.8779614,24.1
1.6797,24.1,2.8783308,24
1.68,24.1,2.8786774,24
1.68,24.1,2.8792096,24.1
1.6797,24.1,2.8794038,24.1
1.6797,24.1,2.879961,24
1.6797,24.1,2.8799834,24
1.6797,24.1,2.8804756,24
1.68,24.1,2.8810258,24
1.68,24.1,2.88097,24
1.6797,24.1,2.8813266,24.1
1.68,24.1,2.8818362,24.1
1.6797,24.1,2.8819756,24
1.6797,24.1,2.882634,24
1.68,24.1,2.8828212,24
1.6797,24.1,2.883312,24.1
1.6797,24.1,2.88356,24
1.6797,24.1,2.8836948,24
1.68,24.1,2.884045,24
1.6797,24.1,2.8846504,24
1.68,24.1,2.884838,24
1.6797,24.1,2.885245,24
1.68,24.1,2.8855644,24
1.6797,24.1,2.8855734,24
1.6797,24.1,2.8861588,24
1.68,24.1,2.8865522,24
1.6797,24.1,2.8870642,24
1.6797,24.1,2.8870722,24
1.68,24.1,2.8877084,24
1.68,24.1,2.887958,24
1.6797,24.1,2.8882864,24
1.68,24.1,2.8886908,24
1.68,24.1,2.8890634,24
1.6797,24.1,2.8893868,24
1.68,24.1,2.889729,24.1
1.6797,24.1,2.889842,24
1.6797,24.1,2.8904082,24
1.6797,24.1,2.8903774,24
1.68,24.1,2.8910034,24
1.6797,24.1,2.8913534,24
1.6797,24.1,2.8915856,24
1.68,24.1,2.8917838,24
1.68,24.1,2.8920108,24
1.6797,24.1,2.8923216,24
1.6797,24.1,2.89279,24
1.68,24.1,2.8933194,24
1.6797,24.1,2.893507,24
1.6797,24.1,2.8937772,24
1.68,24.1,2.8939636,24
1.68,24.1,2.8945254,24
1.6797,24.1,2.8949606,24
1.6797,24.1,2.8952184,24
1.68,24.1,2.8955026,24
1.68,24.1,2.8959324,24
1.6797,24.1,2.8960848,24
1.68,24.1,2.896258,24
1.68,24.1,2.8966294,24
1.6797,24.1,2.8970878,24
1.68,24.1,2.8971304,24
1.6797,24.1,2.8978296,24
1.6797,24.1,2.8980634,24
1.6797,24.1,2.8981776,24
1.6797,24.1,2.898656,24
1.6803,24.1,2.8986354,24
1.68,24.1,2.8989734,24
1.6797,24.1,2.8992608,24
1.6797,24.1,2.8994556,24
1.68,24.1,2.899962,24
1.6797,24.1,2.9003986,24
1.6797,24.1,2.900905,24
1.6797,24.1,2.9010438,24
1.68,24.1,2.9013866,24
1.6797,24.1,2.901248,24
1.6797,24.1,2.9018704,24
1.68,24.1,2.9021046,24
1.6797,24.1,2.9025602,24
1.68,24.1,2.9029402,24
1.6797,24.1,2.9031968,24
1.6797,24.1,2.9032788,24
1.68,24.1,2.9036428,24
1.68,24.1,2.9040124,24
1.6797,24.1,2.9043136,24
1.6797,24.1,2.9046058,24
1.6797,24.1,2.9050424,24
1.6797,24.1,2.905201,24
1.6797,24.1,2.9059476,24
1.6797,24.1,2.9057994,24
1.6797,24.1,2.9060834,24
1.6797,24.1,2.906451,24
1.68,24.2,2.9067416,24
1.68,24.1,2.9070676,24
1.6797,24.1,2.907438,24
1.68,24.2,2.9076098,24
1.6797,24.1,2.9079866,24
1.68,24.1,2.908244,24
1.68,24.1,2.9086696,24
1.68,24.1,2.9089176,24
1.6797,24.1,2.9093372,24
1.6797,24.1,2.9094008,24
1.6797,24.1,2.9094278,24
1.6797,24.2,2.9101978,24
1.6797,24.2,2.9103734,24
1.6797,24.1,2.9104948,24
1.68,24.2,2.9106642,24
1.68,24.1,2.9111666,24
1.6797,24.1,2.9113302,24
1.6797,24.2,2.9115552,24
1.6797,24.2,2.9119822,24
1.6797,24.2,2.9123124,24
1.68,24.1,2.9124212,24
1.6797,24.1,2.9129612,24
1.6797,24.2,2.913086,24
1.6803,24.2,2.9135204,24
1.6797,24.2,2.9136082,24
1.68,24.2,2.913806,24
1.6803,24.2,2.9142964,24
1.6797,24.2,2.9145774,24
1.6797,24.2,2.9150004,24
1.6797,24.2,2.9151284,24
1.6803,24.2,2.9152944,24
1.6797,24.2,2.9154822,24
1.6797,24.2,2.9159652,24
1.6797,24.2,2.916349,24
1.6797,24.1,2.9166822,24
1.6797,24.2,2.9169754,24
1.6797,24.2,2.9174192,24
1.6797,24.2,2.917676,24
1.6797,24.2,2.917599,24
1.6803,24.2,2.9180106,24
1.6797,24.2,2.9184806,24
1.68,24.2,2.91854,24
1.6803,24.1,2.9188518,24
1.68,24.1,2.919182,24
1.6797,24.2,2.9195198,24
1.6797,24.2,2.9198826,24
1.68,24.1,2.919912,24
1.68,24.1,2.9203398,24
1.68,24.2,2.920643,24
1.68,24.2,2.9210886,24
1.68,24.1,2.9211186,24
1.6797,24.1,2.9217016,24
1.68,24.1,2.9219182,24
1.68,24.2,2.9220872,24
1.6797,24.1,2.9221488,24
1.68,24.1,2.9230042,24
1.6797,24.2,2.9230266,24
1.6797,24.1,2.9234002,24
1.68,24.2,2.9236836,24
1.6797,24.2,2.9240856,24
1.6797,24.1,2.923954,24
1.68,24.2,2.9241234,24
1.6797,24.2,2.9243194,24
1.6797,24.2,2.9247238,24
1.6797,24.2,2.92472,24
1.68,24.2,2.9253096,24
1.6797,24.1,2.9255886,24
1.6803,24.2,2.925932,24
1.6803,24.2,2.9261,24
1.6797,24.2,2.9263812,24
1.6797,24.2,2.9264656,24
1.6797,24.2,2.9269364,24
1.6797,24.1,2.9270708,24
1.6797,24.2,2.9275564,24
1.6797,24.2,2.9278518,24
1.6797,24.1,2.9280146,24
1.6797,24.2,2.9284122,24
1.6797,24.2,2.9282412,24
1.6797,24.1,2.9287782,24
1.6797,24.1,2.929161,24
1.6797,24.2,2.9294628,24
1.6797,24.2,2.929393,24
1.6803,24.2,2.929907,24
1.6803,24.1,2.9301134,24
1.6797,24.1,2.9303624,24
1.6803,24.2,2.9306056,24
1.6797,24.1,2.9306996,24
1.6797,24.1,2.93096,24
1.68,24.1,2.931133,24
1.68,24.2,2.9316674,24
1.68,24.2,2.9318396,24
1.68,24.2,2.9319816,24
1.6797,24.1,2.9323204,24
1.68,24.1,2.932825,24
1.68,24.1,2.9330394,24
1.6797,24.1,2.9334704,24
1.6797,24.1,2.9333138,24
1.68,24.2,2.9338254,24
1.68,24.2,2.9340622,24
1.68,24.1,2.9343964,24
1.6797,24.2,2.9344976,24
1.68,24.1,2.9347604,24
1.68,24.1,2.9351496,24
1.6797,24.1,2.9350366,24
1.68,24.1,2.9354984,24
1.68,24.1,2.9356876,24
1.68,24.1,2.9362052,24
1.6794,24.1,2.9365296,24
1.68,24.1,2.936728,24
1.6794,24.1,2.9367662,24
1.68,24.1,2.936914,24
1.6794,24.1,2.937321,24
1.68,24.1,2.9378126,24
1.68,24.1,2.9377144,24
1.6794,24.1,2.9381454,24
1.68,24.1,2.9384402,24
1.68,24.1,2.9388408,24
1.6797,24.1,2.9388612,24
1.6797,24.1,2.9395066,24
1.68,24.1,2.9394704,24
1.68,24.1,2.9395822,24
1.6797,24.1,2.9400424,24
1.68,24.1,2.9403546,24
1.6797,24.1,2.940263,24
1.68,24.1,2.9406874,24
1.6797,24.1,2.9410386,24
1.6797,24.1,2.9413542,24
1.68,24.1,2.9413512,24
1.6797,24.1,2.9414326,24
1.6797,24.1,2.9418524,24
1.6797,24.1,2.9421666,24
1.6797,24.1,2.9423278,24
1.68,24.1,2.9427114,24
1.68,24.1,2.94308,24
1.68,24.1,2.9433542,24
1.6797,24.1,2.9435718,24
1.68,24.1,2.9437104,24
1.68,24.1,2.9440164,24
1.68,24.1,2.9442166,24
1.6797,24.1,2.9446188,24
1.6797,24.1,2.9448416,24
1.6797,24.1,2.944931,24
1.6797,24.1,2.9452738,24
1.6797,24.1,2.9454874,24
1.6797,24.1,2.9456434,24
1.6797,24.1,2.9459782,24
1.6797,24.1,2.9463088,24
1.6797,24.1,2.9464814,24
1.6797,24.1,2.9469526,24
1.6797,24.1,2.9467558,24
1.6797,24.1,2.9473726,24
1.6797,24.1,2.947361,24
1.6797,24.1,2.947698,24
1.6803,24.1,2.9481664,24
1.6803,24.1,2.9482904,24
1.6797,24.1,2.9489106,24
1.6803,24.1,2.9488114,24
1.6803,24.1,2.9489864,24
1.6794,24.1,2.9490942,24
1.6797,24.1,2.9494688,24
1.6797,24.1,2.9495318,24
1.6797,24.1,2.9497972,24
1.6797,24.1,2.9499376,24
1.6797,24.1,2.9501296,24
1.6797,24.1,2.9504886,24
1.6797,24.1,2.95073,24
1.6803,24.1,2.950881,24
1.6797,24.1,2.951052,24
1.6803,24.1,2.95135,24
1.6797,24.1,2.9515798,24
1.6797,24.1,2.9519326,24
1.6803,24.1,2.952024,24
1.6797,24.1,2.9522276,24
1.6797,24.1,2.9524916,24
1.6797,24.1,2.9528208,24
1.68,24.1,2.952867,24
1.68,24.1,2.95305,24
1.68,24.1,2.9530952,24
1.68,24.1,2.9536,24
1.6797,24.1,2.953658,24
1.6797,24.1,2.9542118,24
1.68,24.1,2.9540694,24
1.6797,24.1,2.9545306,24
1.68,24.1,2.9546154,24
1.6797,24.1,2.9547482,24
1.68,24.1,2.9552722,24
1.68,24.1,2.9553412,24
1.6797,24.1,2.955599,24
1.68,24.1,2.955719,24
1.6797,24.1,2.956234,24
1.6797,24.1,2.9566938,24
1.6797,24.1,2.9569248,24
1.6797,24.1,2.9570646,24
1.6803,24.1,2.9570274,24
1.6797,24.1,2.9574064,24
1.6797,24.1,2.9577602,24
1.6803,24.1,2.9578386,24
1.6797,24.1,2.9577954,24
1.6797,24.1,2.95817,24
1.6803,24.1,2.958615,24
1.6797,24.1,2.9588298,24
1.6797,24.1,2.9591328,24
1.6797,24.1,2.9591904,24
1.6797,24.1,2.9595588,24
1.6803,24.1,2.9597082,24
1.6797,24.1,2.959884,24
1.6797,24.1,2.9602308,24
1.6803,24.1,2.9601954,24
1.6797,24.1,2.9602778,24
1.6803,24.1,2.960724,24
1.6797,24.1,2.9612582,24
1.6803,24.1,2.9610836,24
1.6797,24.1,2.9612406,24
1.6797,24.1,2.9616684,24
1.6803,24.1,2.9617814,24
1.6797,24.1,2.9622206,24
1.6797,24.1,2.961965,23.9
1.6797,24.1,2.962455,24
1.6797,24.1,2.962675,24
1.6797,24.1,2.9629298,24
1.6797,24.1,2.9630912,24
1.68,24.1,2.9634872,24
1.68,24.1,2.963444,24
1.68,24.1,2.963806,24
1.6797,24.1,2.9640038,24
1.68,24.1,2.9645396,24
1.68,24.1,2.9645438,24
1.6797,24.1,2.9647164,24
1.6797,24.1,2.9648268,24
1.6803,24.1,2.9651142,24
1.6797,24.1,2.9654096,24
1.6797,24.1,2.965551,24
1.6797,24.1,2.9660214,24
1.6803,24.1,2.9661228,24
1.6797,24.1,2.9663206,24
1.6791,24.1,2.9665596,24
1.68,24.1,2.966637,24
1.68,24.1,2.9670328,24
1.68,24.2,2.9674104,24
1.6797,24.1,2.9673052,24
1.68,24.1,2.9678158,24
1.68,24.1,2.968041,24
1.6797,24.1,2.9681744,24
1.68,24.1,2.9682892,24
1.68,24.1,2.9683882,24
1.6797,24.1,2.9686494,24
1.6797,24.1,2.9688592,24
1.6797,24.1,2.969258,24
1.6797,24.1,2.9692988,24
1.68,24.1,2.9698284,24
1.6797,24.1,2.9697566,24
1.68,24.1,2.9704102,23.9
1.68,24.2,2.970303,24
1.6797,24.1,2.970529,24
1.68,24.1,2.9709034,24
1.6797,24.1,2.9710226,24
1.68,24.1,2.971179,24
1.6797,24.1,2.9712118,24
1.6797,24.1,2.971279,24
1.68,24.1,2.971869,24
1.68,24.1,2.97199,24
1.68,24.1,2.972013,24
1.68,24.1,2.9723232,24
1.6797,24.1,2.972714,24
1.68,24.1,2.9728112,24
1.68,24.1,2.9726552,24
1.6797,24.1,2.9732914,24
1.68,24.1,2.9734722,24
1.6797,24.1,2.9734276,24
1.6797,24.1,2.9737564,24
1.68,24.1,2.9740424,24
1.68,24.1,2.9742888,24
1.6797,24.1,2.9745404,24
1.68,24.1,2.974724,24
1.68,24.1,2.9749328,24
1.6797,24.1,2.9751898,24
1.6797,24.2,2.9752056,23.9
1.6797,24.2,2.975633,23.9
1.68,24.2,2.9756562,24
1.68,24.1,2.9759048,24
1.6797,24.1,2.976211,24
1.68,24.2,2.9763196,24
1.6797,24.1,2.9763838,23.9
1.68,24.1,2.9765704,24
1.68,24.1,2.9768586,24
1.68,24.1,2.9772178,24
1.68,24.1,2.977557,24
1.68,24.1,2.9776278,24
1.6797,24.2,2.977663,24
1.68,24.1,2.9777592,24
1.6797,24.1,2.9780276,24
1.68,24.2,2.9784856,24
1.6797,24.1,2.9784054,24
1.68,24.1,2.9786272,24
1.68,24.1,2.9792224,23.9
1.6797,24.1,2.9790026,24
1.6797,24.2,2.9793308,24
1.6797,24.1,2.9796474,24
1.6797,24.2,2.9798924,24
1.6797,24.2,2.9799502,24
1.6797,24.1,2.980172,24
1.68,24.2,2.9801866,24
1.68,24.2,2.9807862,24
1.68,24.2,2.9810692,24
1.6797,24.2,2.9811406,24
1.6797,24.2,2.9815572,24
1.68,24.1,2.9813664,24
1.68,24.1,2.981796,24
1.68,24.1,2.981603,24
1.6797,24.2,2.9821182,24
1.6797,24.2,2.9822386,24
1.68,24.2,2.98273,23.9
1.68,24.2,2.982442,24
1.68,24.2,2.9829674,24
1.6797,24.2,2.9828946,24
1.6797,24.2,2.9833774,24
1.6797,24.1,2.9835176,24
1.6797,24.2,2.9837688,24
1.68,24.1,2.9840872,24
1.6797,24.1,2.9842232,24
1.6797,24.2,2.984211,24
1.6797,24.1,2.9846064,24
1.68,24.2,2.9847638,24
1.68,24.1,2.9846894,23.9
1.68,24.2,2.9849518,24
1.6797,24.1,2.9853088,24
1.6797,24.1,2.9856536,24
1.6797,24.1,2.9857364,24
1.6803,24.1,2.9859124,24
1.6803,24.2,2.9862204,24
1.6797,24.2,2.9863752,24
1.6803,24.2,2.9865824,24
1.6797,24.2,2.986811,24
1.6797,24.2,2.9868834,24
1.6797,24.2,2.9872314,24
1.6803,24.1,2.9875696,24
1.6797,24.2,2.9877298,24
1.68,24.2,2.9877266,24
1.68,24.1,2.9879158,24
1.68,24.2,2.9881404,23.9
1.68,24.1,2.9880134,23.9
1.6797,24.1,2.9886354,24
1.6803,24.2,2.9890146,23.9
1.6797,24.1,2.9890384,24
1.6797,24.1,2.9888204,24
1.6797,24.1,2.9895014,24
1.6797,24.1,2.9895324,24
1.6797,24.2,2.9896524,24
1.6797,24.2,2.9897266,23.9
1.68,24.2,2.9900632,24
1.6797,24.2,2.9903096,24
1.6797,24.2,2.9901998,24
1.6797,24.2,2.9905432,24
1.6797,24.2,2.99111,24
1.6797,24.1,2.9909948,24
1.68,24.2,2.9912248,24
1.6797,24.2,2.991395,24
1.6797,24.2,2.9915288,23.9
1.68,24.2,2.9915102,24
1.68,24.2,2.9918456,24
1.68,24.2,2.9919724,23.9
1.6797,24.2,2.9923404,24
1.6797,24.2,2.9924138,24
1.68,24.2,2.9926062,24
1.68,24.2,2.9930898,24
1.68,24.1,2.9934094,23.9
1.6797,24.2,2.99342,24
1.68,24.1,2.9933894,24
1.6797,24.2,2.9938494,24
1.6797,24.2,2.9939538,24
1.6797,24.2,2.994065,24
1.6797,24.1,2.9941742,23.9
1.6797,24.2,2.9943462,24
1.6797,24.2,2.9944364,24
1.6797,24.2,2.994756,24
1.68,24.2,2.9949276,23.9
1.6797,24.2,2.995262,24
1.68,24.2,2.9954384,24
1.6797,24.2,2.9957714,24
1.68,24.2,2.995751,24
1.6797,24.2,2.9961108,24
1.6797,24.2,2.9961834,24
1.6797,24.2,2.9965576,24
1.6797,24.2,2.9963704,24
1.68,24.2,2.9965096,23.9
1.68,24.2,2.9968038,24
1.6797,24.2,2.9971904,23.9
1.68,24.2,2.9973262,24
1.6797,24.2,2.997417,24
1.68,24.2,2.997545,24
1.6797,24.2,2.9977806,24
1.68,24.2,2.9978878,24
1.6797,24.2,2.9981508,24
1.6797,24.2,2.9982476,24
1.68,24.2,2.9987596,23.9
1.6797,24.1,2.99883,24
1.6797,24.2,2.9990012,24
1.6797,24.2,2.9989564,23.9
1.68,24.2,2.9994192,24
1.6797,24.2,2.9996882,24
1.6803,24.2,2.9999794,24
1.6797,24.2,3.0001632,24
1.6797,24.1,3.000194,24
1.6797,24.2,3.0003942,23.9
1.6803,24.1,3.0002454,24
1.6797,24.2,3.0006236,24
1.6797,24.2,3.0006314,24
1.6803,24.1,3.0011136,23.9
1.6797,24.2,3.0010226,24
1.6797,24.2,3.0015186,23.9
1.6803,24.2,3.0013822,24
1.6797,24.2,3.002071,24
1.6803,24.2,3.0018356,24
1.6797,24.2,3.0019208,23.9
1.6797,24.2,3.0021244,24
1.6803,24.2,3.0020146,24
1.6797,24.1,3.0025738,23.9
1.6797,24.2,3.0027362,24
1.6797,24.2,3.0028528,24
1.6797,24.2,3.0029742,24
1.6797,24.1,3.00346,23.9
1.6803,24.2,3.003309,23.9
1.6797,24.2,3.0037126,24
1.6803,24.2,3.0037226,24
1.6803,24.1,3.004209,24
1.6797,24.1,3.0041942,24
1.6803,24.2,3.004497,24
1.6803,24.2,3.0046502,23.9
1.6803,24.2,3.0046332,23.9
1.6797,24.2,3.004988,24
1.6791,24.2,3.004999,24
1.6797,24.1,3.0052634,24
1.6797,24.2,3.0055524,23.9
1.6797,24.2,3.0058236,24
1.68,24.2,3.0057678,23.9
1.68,24.1,3.0059154,24
1.68,24.2,3.006124,24
1.6797,24.2,3.0063572,23.9
1.68,24.2,3.0066742,24
1.6797,24.1,3.0069764,23.9
1.6797,24.1,3.0071456,24
1.68,24.1,3.0073046,24
1.68,24.1,3.0075422,23.9
1.68,24.1,3.0075948,24
1.6797,24.1,3.0078044,24
1.6797,24.1,3.0081614,23.9
1.6797,24.1,3.0082954,24
1.6803,24.1,3.0082078,24
1.6797,24.1,3.0085992,23.9
1.6797,24.1,3.0086306,23.9
1.68,24.2,3.0088314,24
1.6797,24.1,3.0089218,24
1.68,24.1,3.0091796,24
1.68,24.1,3.0092944,23.9
1.68,24.1,3.0095888,23.9
1.6797,24.1,3.0097294,23.9
1.6797,24.1,3.0099852,23.9
1.6797,24.1,3.010119,23.9
1.6797,24.1,3.0104286,24
1.68,24.1,3.0105352,23.9
1.68,24.1,3.010742,24
1.68,24.1,3.0108834,23.9
1.6797,24.1,3.010961,23.9
1.6797,24.1,3.0110596,24
1.6797,24.1,3.0110538,23.9
1.68,24.1,3.011427,23.9
1.68,24.1,3.01158,24
1.68,24.1,3.011671,23.9
1.68,24.1,3.0120788,23.9
1.6797,24.1,3.0122266,23.9
1.6797,24.1,3.0124498,23.9
1.68,24.1,3.0125892,23.9
1.6797,24.1,3.0126296,23.9
1.68,24.1,3.012916,23.9
1.6797,24.1,3.013083,24
1.6797,24.1,3.0131778,23.9
1.6797,24.1,3.0132944,23.9
1.68,24.1,3.0135142,23.9
1.6797,24.1,3.0138286,24
1.68,24.1,3.0139104,23.9
1.68,24.1,3.0139538,24
1.68,24.1,3.0143726,23.9
1.68,24.1,3.0143172,23.9
1.6797,24.1,3.0146038,23.9
1.68,24.1,3.0149778,23.9
1.68,24.1,3.0147664,23.9
1.6797,24.1,3.0150654,23.9
1.68,24.1,3.0154328,23.9
1.6797,24.1,3.0156154,23.9
1.6797,24.1,3.0153972,23.9
1.6797,24.1,3.016078,23.9
1.6797,24.1,3.0160452,23.9
1.6797,24.1,3.0161766,23.9
1.6797,24.1,3.0163342,23.9
1.6797,24.1,3.0162686,24
1.6797,24.1,3.0168158,24
1.6803,24.1,3.0167748,23.9
1.6797,24.1,3.0167144,23.9
1.68,24.1,3.0173474,23.9
1.6797,24.1,3.0173108,23.9
1.6803,24.1,3.0175696,23.9
1.6803,24.1,3.0178098,23.9
1.6797,24.1,3.0177114,23.9
1.6797,24.1,3.0181208,23.9
1.6797,24.1,3.0183846,24
1.6797,24.1,3.0184638,23.9
1.6797,24.1,3.0185172,23.9
1.6797,24.1,3.0189004,23.9
1.6797,24.1,3.0188254,24
1.6797,24.1,3.0188704,23.9
1.6803,24.1,3.018911,23.9
1.6797,24.1,3.0194902,23.9
1.6797,24.1,3.0195888,23.9
1.6797,24.1,3.0198226,23.9
1.6803,24.1,3.0197384,23.9
1.6803,24.1,3.0199562,23.9
1.6797,24.1,3.0203204,23.9
1.6797,24.1,3.0202902,23.9
1.6797,24.1,3.020742,23.9
1.6797,24.1,3.0207856,23.9
1.6797,24.1,3.0207402,23.9
1.6797,24.1,3.0210586,23.9
1.68,24.1,3.0211054,23.9
1.6797,24.1,3.0216032,23.9
1.6797,24.1,3.0215416,23.9
1.6791,24.1,3.0219452,23.9
1.6797,24.1,3.0219254,23.9
1.6797,24.1,3.0221516,23.9
1.68,24.1,3.0221112,23.9
1.6797,24.1,3.0223674,23.9
1.68,24.1,3.0225566,23.9
1.68,24.1,3.0226758,23.9
1.6797,24.1,3.0230116,23.9
1.68,24.1,3.0230842,23.9
1.6797,24.1,3.0233298,23.9
1.68,24.1,3.0233868,24
1.6797,24.1,3.023616,23.9
1.6797,24.1,3.0234518,23.9
1.68,24.1,3.023852,23.9
1.6797,24.1,3.0241468,23.9
1.68,24.1,3.0241572,23.9
1.6797,24.1,3.0245098,23.9
1.6797,24.1,3.0246602,23.9
1.6797,24.1,3.0249122,23.9
1.6797,24.1,3.024813,23.9
1.6797,24.1,3.0252924,23.9
1.68,24.1,3.0253752,23.9
1.6797,24.1,3.0255474,23.9
1.68,24.1,3.0255758,23.9
1.6797,24.1,3.0258756,23.9
1.6797,24.1,3.0260214,23.9
